# accession	asmId	taxId	vgpClade	Scientific_name	UCSC_common_name	NCBI_taxon_string
GCA_036250135.1	GCA_036250135.1_bDixPip1.hap2	415032	birds	Pseudopipra_pipra	white-crowned manakin (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Pipridae;Pseudopipra;
GCA_036321565.1	GCA_036321565.1_mCamDro1.hap2	9838	mammals	Camelus_dromedarius	Arabian camel (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Tylopoda;Camelidae;Camelus;
GCA_036365475.1	GCA_036365475.1_fAmiCal2.hap2	7924	fish	Amia_calva	bowfin (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Holostei;Amiiformes;Amiidae;Amia;
GCA_036365495.1	GCA_036365495.1_sHetFra1.hap2	7792	vertebrate	Heterodontus_francisci	horn shark (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Elasmobranchii;Selachii;Galeomorphii;Heterodontoidea;Heterodontiformes;Heterodontidae;Heterodontus;
GCA_036417475.1	GCA_036417475.1_mIniGeo1.hap2	9725	mammals	Inia_geoffrensis	boutu (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Iniidae;Inia;
GCA_036417515.1	GCA_036417515.1_bDroNov1.hap2	8790	birds	Dromaius_novaehollandiae	emu (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Palaeognathae;Casuariiformes;Dromaiidae;Dromaius;
GCA_036417895.1	GCA_036417895.1_bPasDom1.hap2	48849	birds	Passer_domesticus	house sparrow (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passeroidea;Passeridae;Passer;
GCA_036417975.1	GCA_036417975.1_bAptMan1.hap2	2696672	birds	Apteryx_mantelli	North Island brown kiwi (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Palaeognathae;Apterygiformes;Apterygidae;Apteryx;
GCA_036418225.1	GCA_036418225.1_bChlMac1.pat	187382	birds	Chlamydotis_macqueenii	Macqueen's bustard (paternal 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Otidimorphae;Otidiformes;Otididae;Chlamydotis;
GCA_036418255.1	GCA_036418255.1_mEquCab1.mat	9796	mammals	Equus_caballus	horse (maternal 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Perissodactyla;Equidae;Equus;
GCA_036850655.1	GCA_036850655.1_bMerOct1.hap2	1570318	birds	Mergus_octosetaceus	Brazilian merganser (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Anseriformes;Anatidae;Anatinae;Mergus;
GCA_036971175.1	GCA_036971175.1_sNarBan1.hap2	1343680	vertebrate	Narcine_bancroftii	Caribbean electric ray (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Elasmobranchii;Batoidea;Torpediniformes;Narcinidae;Narcine;
GCA_037038555.1	GCA_037038555.1_mRhyNas2.hap2	249017	mammals	Rhynchonycteris_naso	proboscis bat (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Emballonuridae;Emballonurinae;Rhynchonycteris;
GCA_037038625.1	GCA_037038625.1_fFunDia1.hap2	54267	fish	Fundulus_diaphanus	banded killifish (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Cyprinodontoidei;Fundulidae;Fundulus;
GCA_037039175.1	GCA_037039175.1_mMicPen1.hap2	10058	mammals	Microtus_pennsylvanicus	meadow vole (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Arvicolinae;Microtus;
GCA_037157625.1	GCA_037157625.1_bLatDis1.hap2	678569	birds	Lathamus_discolor	Swift parrot (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Psittaciformes;Psittacidae;Lathamus;
GCA_037176705.1	GCA_037176705.1_mMolAlv2.hap2	1552295	mammals	Molossus_alvarezi	Alvarez's mastiff bat (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Molossidae;Molossus;
GCA_037176775.1	GCA_037176775.1_rAnoSag1.pat	38937	vertebrate	Anolis_sagrei	Brown anole (rAnoSag1 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Iguania;Dactyloidae;Anolis;
GCA_037306015.1	GCA_037306015.1_aRhiDor1.hap2	43566	vertebrate	Rhinophrynus_dorsalis	Mexican burrowing toad (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Pipoidea;Rhinophrynidae;Rhinophrynus;
GCA_037950955.1	GCA_037950955.1_bSarPap1.hap2	43583	birds	Sarcoramphus_papa	king vulture (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Accipitrimorphae;Accipitriformes;Cathartidae;Sarcoramphus;
